brand_a_slug,brand_b_slug,collab_name,collab_category,release_year,source_url,notes
thisisneverthat,adidas,thisisneverthat x adidas Superstar,footwear,2024,,KR streetwear x classics sneaker capsule
thisisneverthat,new-balance,thisisneverthat x New Balance 1906R,footwear,2023,,Global GR + select channel drop
thisisneverthat,asics,thisisneverthat x ASICS GEL-KAYANO,footwear,2022,,Performance runner reinterpretation
thisisneverthat,salomon,thisisneverthat x Salomon ACS Pro,footwear,2024,,Trail sneaker collaboration
brain-dead,adidas,Brain Dead x adidas Forest Hills,footwear,2024,,Retro court revival
brain-dead,asics,Brain Dead x ASICS GEL-NIMBUS 9,footwear,2023,,Multi-color panel execution
brain-dead,salomon,Brain Dead x Salomon XT-6,footwear,2022,,Outdoor-tech crossover
bott,adidas,BoTT x adidas Apparel Capsule,apparel,2024,,Co-branded jersey and track set
bott,asics,BoTT x ASICS GT-2160,footwear,2024,,Japan market focused release
and-wander,asics,and wander x ASICS GEL-SONOMA,footwear,2023,,Trail oriented materials
and-wander,salomon,and wander x Salomon XT-6,footwear,2022,,Co-created outdoor palette
and-wander,danner,and wander x Danner Field,footwear,2024,,Hiking boot collaboration
and-wander,mizuno,and wander x Mizuno Wave Mujin,footwear,2023,,Performance trail project
satisfy,salomon,Satisfy x Salomon XA Pro,footwear,2024,,Running and performance crossover
satisfy,asics,Satisfy x ASICS Novablast,footwear,2023,,Run-focused capsule
goldwin,danner,Goldwin x Danner Mountain Light,footwear,2024,,Technical outdoor collaboration
goldwin,new-balance,Goldwin x New Balance 2002R,footwear,2023,,Outdoor-lifestyle package
n-hoolywood,new-balance,N.Hoolywood x New Balance 2002R,footwear,2024,,Monotone military-inspired update
n-hoolywood,danner,N.Hoolywood x Danner Boots,footwear,2023,,Utility boot project
needles,clarks-originals,Needles x Clarks Originals Wallabee,footwear,2022,,Pattern-heavy upper treatment
our-legacy,suicoke,Our Legacy x Suicoke MOTO,footwear,2022,,Seasonal sandal collaboration
barbour,and-wander,Barbour x and wander Outerwear,apparel,2024,,Waxed cotton meets technical fabric
barbour,thisisneverthat,Barbour x thisisneverthat Capsule,apparel,2023,,Korean market focused drop
visvim,birkenstock,visvim x Birkenstock Sandals,footwear,2022,,Premium leather rebuild concept
song-for-the-mute,adidas,Song for the Mute x adidas Originals,footwear,2024,,Textural runner capsule
willy-chavarria,adidas,Willy Chavarria x adidas Originals,apparel,2024,,Tailored sport silhouette
adidas,adidas-originals-by-wales-bonner,adidas Originals by Wales Bonner,apparel,2023,,Mainline special project
adidas,adidas-originals-by-willy-chavarria,adidas Originals by Willy Chavarria,apparel,2024,,Special project line extension
adidas,adidas-originals-x-song-for-the-mute,adidas Originals x Song for the Mute,footwear,2024,,Seasonal continuation
adidas,adidas-originals-x-willy-chavarria,adidas Originals x Willy Chavarria,apparel,2024,,Commercial capsule
adidas,adidas-originals-by-sftm,adidas Originals by SFTM,apparel,2023,,Collaborative apparel line
adidas,adidas-originals-by-dingyun-zhang,adidas Originals by Dingyun Zhang,apparel,2024,,Puffer-focused design project
adidas,adidas-originals-x-miaou,adidas Originals x MIAOU,apparel,2023,,Womenswear-led capsule
song-for-the-mute,adidas-originals-x-song-for-the-muter,Song for the Mute x adidas (alt line),footwear,2023,,Legacy slug variant kept for tracking
